iteration,Fast (a=0.90),Medium (a=0.95),Slow (a=0.98),VerySlow (a=0.99 T0=20)
68400,,,,7.5309
68500,,,,7.5309
68600,,,,7.5309
68700,,,,7.5309
68800,,,,7.5309
68900,,,,7.5309
69000,,,,7.5309
69100,,,,7.5309
69200,,,,7.5309
69300,,,,7.5309
69400,,,,7.5309
69500,,,,7.5309
69600,,,,7.5309
69700,,,,7.5309
69800,,,,7.5309
69900,,,,7.5309
70000,,,,7.5309
70100,,,,7.5309
70200,,,,7.5309
70300,,,,7.5309
70400,,,,7.5309
70500,,,,7.5309
70600,,,,7.5309
70700,,,,7.5309
70800,,,,7.5309
70900,,,,7.5309
71000,,,,7.5309
71100,,,,7.5309
71200,,,,7.5309
71300,,,,7.5309
71400,,,,7.5309
71500,,,,7.5309
71600,,,,7.5309
71700,,,,7.5309
71800,,,,7.5309
71900,,,,7.5309
72000,,,,7.5309
72100,,,,7.5309
72200,,,,7.5309
72300,,,,7.5309
72400,,,,7.5309
72500,,,,7.5309
72600,,,,7.5309
72700,,,,7.5309
72800,,,,7.5309
72900,,,,7.5309
73000,,,,7.5309
73100,,,,7.5309
73200,,,,7.5309
73300,,,,7.5309
73400,,,,7.5309
73500,,,,7.5309
73600,,,,7.5309
73700,,,,7.5309
73800,,,,7.5309
73900,,,,7.5309
74000,,,,7.5309
74100,,,,7.5309
74200,,,,7.5309
74300,,,,7.5309
74400,,,,7.5309
74500,,,,7.5309
74600,,,,7.5309
74700,,,,7.5309
74800,,,,7.5309
74900,,,,7.5309
75000,,,,7.5309
75100,,,,7.5309
75200,,,,7.5309
75300,,,,7.5309
75400,,,,7.5309
75500,,,,7.5309
75600,,,,7.5309
75700,,,,7.5309
75800,,,,7.5309
75900,,,,7.5309
76000,,,,7.5309
76100,,,,7.5309
76200,,,,7.5309
76300,,,,7.5309
76400,,,,7.5309
76500,,,,7.5309
76600,,,,7.5309
76700,,,,7.5309
76800,,,,7.5309
76900,,,,7.5309
77000,,,,7.5309
77100,,,,7.5309
77200,,,,7.5309
77300,,,,7.5309
77400,,,,7.5309
77500,,,,7.5309
77600,,,,7.5309
77700,,,,7.5309
77800,,,,7.5309
77900,,,,7.5309
78000,,,,7.5309
78100,,,,7.5309
78200,,,,7.5309
78300,,,,7.5309
78400,,,,7.5309
78500,,,,7.5309
78600,,,,7.5309
78700,,,,7.5309
78800,,,,7.5309
78900,,,,7.5309
79000,,,,7.5309
79100,,,,7.5309
79200,,,,7.5309
79300,,,,7.5309
79400,,,,7.5309
79500,,,,7.5309
79600,,,,7.5309
79700,,,,7.5309
79800,,,,7.5309
79900,,,,7.5309
80000,,,,7.5309
80100,,,,7.5309
80200,,,,7.5309
80300,,,,7.5309
80400,,,,7.5309
80500,,,,7.5309
80600,,,,7.5309
80700,,,,7.5309
80800,,,,7.5309
80900,,,,7.5309
81000,,,,7.5309
81100,,,,7.5309
81200,,,,7.5309
81300,,,,7.5309
81400,,,,7.5309
81500,,,,7.5309
81600,,,,7.5309
81700,,,,7.5309
81800,,,,7.5309
81900,,,,7.5309
82000,,,,7.5309
82100,,,,7.5309
82200,,,,7.5309
82300,,,,7.5309
82400,,,,7.5309
82500,,,,7.5309
82600,,,,7.5309
82700,,,,7.5309
82800,,,,7.5309
82900,,,,7.5309
83000,,,,7.5309
83100,,,,7.5309
83200,,,,7.5309
83300,,,,7.5309
83400,,,,7.5309
83500,,,,7.5309
83600,,,,7.5309
83700,,,,7.5309
83800,,,,7.5309
83900,,,,7.5309
84000,,,,7.5309
84100,,,,7.5309
84200,,,,7.5309
84300,,,,7.5309
84400,,,,7.5309
84500,,,,7.5309
84600,,,,7.5309
84700,,,,7.5309
84800,,,,7.5309
84900,,,,7.5309
85000,,,,7.5309
